9.999999069764815562e-01,9.999101168331615552e-01,9.940755902591446036e-01,9.633132120137071208e-01,7.237481762569849542e-01,5.598277333650804044e-01,5.606850171565087582e-01,2.366665017114812641e-01,9.554336577492226201e-01
9.999183015451077461e-01,9.801965031700413666e-01,9.999816322586275730e-01,2.930400422225636903e-01,8.679491700638741758e-01,5.911487175775266278e-01,4.315679442423794865e-01,3.191747492897468730e-01,6.426986027356466069e-01
9.999909559069073417e-01,5.219440571286704245e-01,9.904092472985044360e-01,1.031764122583211929e-06,8.618161843064406913e-01,5.950916311860079411e-01,5.523881161500998616e-01,2.633613219965039859e-02,8.204645735878871582e-01
9.999997105847417966e-01,9.999964552948423790e-01,8.467622480506972193e-01,9.146016400405356794e-01,7.691699423340492281e-01,1.980509325504488383e-01,6.303557265672078413e-01,4.220345224231969450e-01,9.615519812125207233e-01
9.512156641739322183e-01,9.999999999568525144e-01,2.378741888801293169e-04,3.326573379160946420e-02,9.739851472374684294e-01,8.411371768933664228e-01,5.242379741272583660e-01,4.254081830407606679e-01,3.771859329823782497e-02
9.999982722211253616e-01,9.999964554038061060e-01,8.318128876940520389e-01,9.329570593615948634e-03,9.444004632839764213e-01,7.597275889068391130e-01,6.322835434735778470e-01,2.657581973059891522e-02,5.182584525065485614e-01
9.999653922503574099e-01,9.692759308325129552e-01,9.234689613859152768e-01,9.999970662374232377e-01,7.414686646019887917e-01,5.680233673633969804e-01,6.732948591050014198e-01,6.643770257299514981e-01,5.290602205420707332e-02
9.999999997190655021e-01,1.441152414514049740e-01,9.944763984914843924e-01,9.999998414437707428e-01,8.184234040093213425e-01,3.878960433924853735e-02,7.340568326963861079e-01,4.158833312567464802e-01,5.549604226067489376e-01
9.999999997190655021e-01,1.354755180070348064e-01,2.078039141663690081e-02,9.999998414437707428e-01,8.184234040093213425e-01,3.878960433924853735e-02,7.528838543358569169e-01,8.044559387150242991e-01,5.820025042671745918e-01
9.918477129773087819e-01,9.999999999550530649e-01,9.993213670015151928e-01,8.384299041205205416e-01,7.417948450275548833e-01,4.014667570890229076e-02,6.553033084090571503e-01,5.853795561258151592e-02,9.471204874288781106e-01
