4.546258238732865942e-01,5.965289304453096075e-02,3.191980586508297857e-01,5.517825393103439335e-01,2.597884336647269876e+01
1.526442086064448667e+01,2.562494733726621732e+00,8.909149195552762635e+00,1.099486457811912921e+01,3.822214360090711249e+00
7.524294148936002680e-01,8.987514611498576000e-01,9.479282889434003323e+00,2.586660480568014719e+01,4.986684768281864244e+00
1.240662726383099518e-02,1.610595918719607000e-01,4.851712105613758297e+01,2.981853504827088841e+01,7.386535861727800967e-01
1.937376608854773963e+01,3.234471123301031259e+00,1.416827542355570557e+01,2.407887192939230658e+01,1.688266315233380166e-01
6.229428366604313538e+00,1.041772663732126292e+00,4.242113727576376903e+01,7.214944722833869228e-01,9.045485641958167733e+00
2.863103998071018022e-02,3.219242410220941042e-01,5.539821311385059488e+01,1.203694400093169037e+01,7.583234609574137641e-01
1.566343053578373931e-02,1.326655511176194624e-01,7.031315549121231356e+01,4.628800380993725128e+01,1.256843754198434748e+00
1.626143063840053163e-05,1.143549466451989904e-01,3.383612074251309831e+00,1.426892422272460408e+02,2.977925175575350022e-03
1.723564714294199482e-02,3.755313196430120626e-01,7.870188161492454526e+01,7.740664957106360156e+00,6.338353582097486782e-01
2.389434844929609059e-01,2.198162784257405231e-02,9.986433759639268878e-04,1.333814665528643957e+02,1.083293425968866013e-02
2.491540877836865953e+00,2.978820121923635433e+00,4.427447671770342907e+01,3.411262201854649567e-01,7.037514685013969151e-01
6.913080756841573082e-01,1.289936626877882020e+02,2.932104555030741189e+00,9.021343217889150168e+00,1.504788261117646041e-02
5.136248916515603113e+00,5.273133711325462514e+01,3.693103526753780536e-02,1.563347542011632951e+00,1.394009474627138897e-04
1.681821395203546565e-01,1.573008403615723694e+02,2.640094698207178306e-02,4.772301697133507936e+00,9.327092307636303259e-02
9.139310866592757066e+01,8.817610783722710233e-01,5.888972916687822134e-02,1.009023393708888250e+01,1.970256300143545742e-04
6.791235312827190285e+01,1.352010501706255585e+00,4.420444728221961661e-02,1.519126369133587451e+00,1.635448501758397810e-04
6.777450723771794472e+00,6.958074748568240864e+01,4.873172538402138765e-02,8.044411662001990093e-01,2.501647719480000823e-02
1.701465572594959841e-01,2.269331312343308288e-02,1.149117083162167603e+02,1.961842513740092997e+01,1.058015847247822504e-03
1.209426169474716178e-01,1.079183309976995275e+02,1.816743422942859176e+00,1.171848365677354664e+01,1.034623025858079748e+00
5.796050586065612720e+01,6.533612882002161371e+01,1.787742644106658438e-02,1.080589657008883819e-01,2.202274730668987712e-02
